pitch,yaw,emotion
-0.30510932207107544,-0.43698450922966003,Neutral
-0.19833971560001373,-0.38465315103530884,"Skepticism, Doubt"
-0.21723724901676178,-0.4009828269481659,Neutral
-0.197441965341568,-0.3563575744628906,"Skepticism, Doubt"
-0.3227732479572296,-0.28181225061416626,Neutral
-0.3226605951786041,-0.1268351823091507,Neutral
-0.3968144655227661,-0.12207876890897751,Neutral
-0.3368845582008362,-0.12550359964370728,Neutral
-0.34487244486808777,-0.11767496913671494,Neutral
-0.22194331884384155,-0.09398987889289856,Neutral
-0.17844697833061218,-0.056237973272800446,Neutral
-0.17292331159114838,-0.07938376814126968,Neutral
-0.14534547924995422,-0.06608394533395767,Neutral
-0.1396854668855667,-0.051173970103263855,Neutral
-0.18433548510074615,-0.22612766921520233,"Skepticism, Doubt"
-0.24325047433376312,-0.22572021186351776,Neutral
-0.16833361983299255,-0.09593318402767181,Neutral
-0.17371293902397156,-0.04453923925757408,Neutral
-0.24966469407081604,-0.11460167914628983,Neutral
-0.2102312594652176,-0.11455800384283066,Neutral
-0.3409956693649292,-0.1333061307668686,Neutral
-0.35525238513946533,-0.11840174347162247,Neutral
-0.37499678134918213,-0.11390393227338791,Neutral
-0.34897422790527344,-0.10547555983066559,Neutral
-0.35712164640426636,-0.0826655849814415,Neutral
-0.3942048251628876,-0.12731321156024933,Neutral
-0.33614659309387207,-0.10192903131246567,Neutral
-0.3483015298843384,-0.09649990499019623,Neutral
-0.27244511246681213,-0.14800943434238434,Neutral
-0.3096500039100647,-0.2150055170059204,Neutral
-0.2692658305168152,-0.22334866225719452,Neutral
-0.2827158570289612,-0.16437377035617828,Neutral
-0.2999235987663269,-0.07930654287338257,Neutral
-0.3746446967124939,-0.10142302513122559,Neutral
-0.3147249221801758,-0.09777289628982544,Neutral
-0.13339081406593323,-0.12073653936386108,Neutral
-0.08918873220682144,-0.0421953909099102,Neutral
-0.09278879314661026,-0.03663897141814232,Neutral
-0.14757028222084045,-0.04242841526865959,Neutral
-0.11560409516096115,-0.04020361229777336,Neutral
-0.07840719074010849,-0.31779953837394714,"Skepticism, Doubt"
0.11426825076341629,-0.17988401651382446,Neutral
0.1956946700811386,-0.1684715747833252,Neutral
0.20181621611118317,-0.12636592984199524,Neutral
0.12614861130714417,-0.08243095874786377,Neutral
-0.31668341159820557,-0.07579462975263596,Neutral
-0.33785954117774963,-0.1141236424446106,Neutral
-0.36953890323638916,-0.0489363819360733,Neutral
-0.4684694707393646,0.24217508733272552,Neutral
-0.5022910833358765,0.2063443809747696,"Guilt, Avoidance"
-0.48648762702941895,0.15104863047599792,Neutral
-0.33137473464012146,-0.1583172082901001,Neutral
-0.34492623805999756,-0.12590067088603973,Neutral
-0.3536107838153839,-0.10198069363832474,Neutral
-0.26295119524002075,-0.21790489554405212,Neutral
-0.22822518646717072,-0.23895666003227234,Neutral
-0.16293592751026154,-0.34050965309143066,"Skepticism, Doubt"
-0.03037974424660206,-0.3582918345928192,"Skepticism, Doubt"
-0.14544960856437683,-0.47894182801246643,"Skepticism, Doubt"
-0.19169805943965912,-0.4942089319229126,"Skepticism, Doubt"
-0.2670740485191345,-0.4463154375553131,Neutral
-0.4529261887073517,-0.5173739194869995,Neutral
-0.3713266849517822,-0.6401546597480774,Neutral
-0.47205328941345215,-0.308135449886322,Neutral
